Accession,SRA_Accession,Authors,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT797662,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-28,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E isolate HK06-28 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797663,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-29,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E isolate HK06-29 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797664,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK09-30,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2009/5/1,,"Human coronavirus 229E isolate HK09-30 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797665,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK09-31,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2009/5/1,,"Human coronavirus 229E isolate HK09-31 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797666,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK11-32,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2011/2/1,,"Human coronavirus 229E isolate HK11-32 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797667,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK11-33,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2011/5/1,,"Human coronavirus 229E isolate HK11-33 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797668,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK11-34,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2011/5/1,,"Human coronavirus 229E isolate HK11-34 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797669,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK11-35,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2011/7/1,,"Human coronavirus 229E isolate HK11-35 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797670,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK12-36,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2012/1/1,,"Human coronavirus 229E isolate HK12-36 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797671,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK13-37,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2013/2/1,,"Human coronavirus 229E isolate HK13-37 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797672,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK13-38,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2013/5/1,,"Human coronavirus 229E isolate HK13-38 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797673,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK13-39,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2013/5/1,,"Human coronavirus 229E isolate HK13-39 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797674,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK16-40,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2016/1/1,,"Human coronavirus 229E isolate HK16-40 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797675,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK16-41,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),2780,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2016/1/1,,"Human coronavirus 229E isolate HK16-41 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MT797676,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK04-01,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2004/4/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK04-01"
MT797677,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK04-02,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2004/6/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK04-02"
MT797678,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-03,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/2/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-03"
MT797679,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-04,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/3/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-04"
MT797680,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-05,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/4/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-05"
MT797681,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-06,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/10/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-06"
MT797682,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-07,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/11/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-07"
MT797683,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-08,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/11/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-08"
MT797684,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-09,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/11/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-09"
MT797685,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-10,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/11/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-10"
MT797686,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-11,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-11"
MT797687,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-12,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-12"
MT797688,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-13,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-13"
MT797689,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-14,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-14"
MT797690,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-15,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-15"
MT797691,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-16,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-16"
MT797692,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-17,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-17"
MT797693,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-18,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-18"
MT797694,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-19,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-19"
MT797695,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-20,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-20"
MT797696,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-21,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-21"
MT797697,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK05-22,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2005/12/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK05-22"
MT797698,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-23,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK06-23"
MT797699,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-24,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK06-24"
MT797700,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-25,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK06-25"
MT797701,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-26,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK06-26"
MT797702,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-27,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK06-27"
MT797703,,"Lau,S.K.P., Lung,D.C., Wong,E.Y.M., Aw-Yong,K.L., Wong,A.C.P., Luk,H.K.H., Li,K.S.M., Fung,J., Chan,T.T.Y., Tang,J.Y.M., Zhu,L., Yip,C.C.Y., Wong,S.C.Y., Lee,R.A., Tsang,O.T.Y., Yuen,K.-Y., Woo,P.C.Y.",2021-02-02T00:00:00Z,HK06-28,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),3513,GenBank,partial,,,,Hong Kong,Hong Kong,,Homo sapiens,oronasopharynx,2006/1/1,,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: HK06-28"
